Round,Poll end time,Game mode,Beatmapset ID,Topic ID,Yes,No,Topic title
6,2018-02-10T02:00:47+00:00,1,620643,699491,31,2,[osu!taiko] 2/4/18 Silver forest - Ishikitakaikei yandere doemushoujoJ by ]_p Vote/Discussion
6,2018-02-10T02:00:49+00:00,1,593107,699492,44,6,[osu!taiko] 2/4/18 Sasara Yuuna - dnabgib kaerB by Firce777 Vote/Discussion
6,2018-02-10T02:00:50+00:00,1,111694,699493,32,1,[osu!taiko] 2/4/18 Acrnym - Knife by LZD Vote/Discussion
6,2018-02-10T02:00:52+00:00,1,594135,699494,32,1,[osu!taiko] 2/4/18 Igorrr &amp; Ruby My Dear - Figue Folle by yea Vote/Discussion
6,2018-02-10T02:00:53+00:00,1,343432,699495,39,1,[osu!taiko] 2/4/18 Chroma - Sayonara Planet Wars by BrambleClaw Vote/Discussion
6,2018-02-10T02:10:57+00:00,3,663258,699501,55,1,[osu!mania] 2/4/18 Mick Gordon - The Mastermind by Pope Gadget Vote/Discussion
6,2018-02-10T02:10:59+00:00,3,165716,699502,57,0,[osu!mania] 2/4/18 yuikonnu - Souzou Forest by 17VA Vote/Discussion
6,2018-02-10T02:11:01+00:00,3,193512,699503,59,5,[osu!mania] 2/4/18 Anthony Donato - The Scales of Struggle by Staiain Vote/Discussion
6,2018-02-10T02:11:03+00:00,3,382682,699504,56,10,[osu!mania] 2/4/18 xi - PEACE BREAKER by Evening Vote/Discussion
6,2018-02-10T02:11:05+00:00,3,171946,699505,62,7,[osu!mania] 2/4/18 Helblinde - DEAD END by arcwinolivirus Vote/Discussion
6,2018-02-10T02:11:09+00:00,3,271493,699506,55,6,[osu!mania] 2/4/18 Kobaryo - Kumo No Kireme [feat. kourin.] by Quick Draw Vote/Discussion
6,2018-02-10T02:11:11+00:00,3,87194,699507,19,2,[osu!mania] 2/4/18 TAG meets &quot;eimy&quot; - Kono aozora no shita de by Cirno Vote/Discussion
6,2018-02-10T02:11:14+00:00,3,227037,699508,46,4,[osu!mania] 2/4/18 M2U - Quo Vadis by JamesHappy Vote/Discussion
6,2018-02-10T02:11:15+00:00,3,290702,699509,35,3,[osu!mania] 2/4/18 sun3 - ApolloN by bbu2 Vote/Discussion
6,2018-02-10T02:11:17+00:00,3,455426,699510,72,0,[osu!mania] 2/4/18 ALiCE&#039;S EMOTiON - Dark Flight Dreamer by PiraTom Vote/Discussion
7,2018-02-16T18:37:00+00:00,0,90893,702297,353,47,[osu!std] 2/11/18 Matt Mulholland - My Heart Will Go On by jesse1412 Vote/Discussion
7,2018-02-16T18:37:01+00:00,0,79702,702298,288,22,[osu!std] 2/11/18 DJ YOSHITAKA - A Kiss for the FLOWER by Silynn Vote/Discussion
7,2018-02-16T18:37:02+00:00,0,305454,702299,183,69,[osu!std] 2/11/18 *namirin - Koi no Hime Hime Pettanko by BarkingMadDog Vote/Discussion
7,2018-02-16T18:37:04+00:00,0,290184,702300,129,10,[osu!std] 2/11/18 Kyary Pamyu Pamyu - Furisodation (DJ HKT&#039;s bootleg MIX) by Tarrasky Vote/Discussio
7,2018-02-16T18:37:05+00:00,0,640447,702301,226,18,[osu!std] 2/11/18 succducc - me &amp; u by Alonevpk Vote/Discussion
7,2018-02-16T18:37:06+00:00,0,97595,702302,147,20,[osu!std] 2/11/18 Horie Yui - True truly love by Silynn  Vote/Discussion
7,2018-02-16T18:37:08+00:00,0,98586,702303,122,16,[osu!std] 2/11/18 Indivision &amp; Livewire ft. Tasha Baxter - Won&#039;t You Stay by galvenize Vote/Discussi
7,2018-02-16T18:37:09+00:00,0,172546,702304,167,16,[osu!std] 2/11/18 goreshit - beautiful loli thing by kiri09 Vote/Discussion
7,2018-02-16T18:37:10+00:00,0,391703,702305,174,20,[osu!std] 2/11/18 Silent Siren - Hachigatsu no Yoru by Meg Vote/Discussion
7,2018-02-16T18:37:12+00:00,0,79696,702306,219,9,[osu!std] 2/11/18 Wotamin - Gigantic O.T.N by caren_sk Vote/Discussion
7,2018-02-16T18:46:31+00:00,1,683720,702312,48,15,[osu!taiko] 2/11/18 Imperial Circus Dead Decadence - Yomi Yori Kikoyu...
